,0,1
0,30.073049,31.252331
1,29.847726,31.342698
2,29.316168,30.850001
3,30.883297,29.573687
4,31.232078,29.970381
5,30.786812,30.992109
6,27.729051,30.831541
7,28.695428,30.774761
8,28.091249,30.764297
9,27.167861,31.177926
10,26.058393,32.229866
11,26.125784,32.101447
12,25.611592,32.504203
13,24.484806,32.948993
14,24.980384,32.881483
15,24.057592,32.882291
16,25.503909,29.000265
17,27.067597,27.973584
18,25.442616,30.550031
19,29.194512,25.517236
20,31.112614,27.823256
21,31.030651,28.44512
22,31.605805,25.934147
23,30.842925,28.939794
24,31.560887,25.159269
25,31.356383,27.310229
26,29.0344604414751,34.6593050741067
27,28.4844826870775,34.4946161817564
28,27.8819312101933,34.2998855412553
29,31.1357886073013,33.8098272818668
30,31.2564932776847,34.2277369665286
31,31.2230347950286,34.1227820376913
32,31.010791709675,32.9948185548766
33,30.596431617313,32.2721448088284
34,30.6202661985298,32.2879589953371
35,31.264582,32.304058
36,29.9683508409693,32.5474516934584
37,27.260335,33.818638
38,26.141226,34.254314
39,26.755647,33.941028
40,27.276473,33.775286
41,31.027421,30.704291
42,31.041113,31.378679
43,26.613747,30.808106
44,25.945904,30.716336
45,25.207891,29.782092
46,25.549084,29.298931
47,25.877805,28.321641
48,26.248317,27.75612
49,26.496741,27.670801
50,30.702977,26.948915
51,30.261099,26.254132
52,29.627381,26.499649
53,29.3032083,25.7861318
54,29.0580223366957,33.1026270995113
55,28.6898079590231,33.3539755189208
56,27.8774087520432,33.4358856164232
57,31.4072834049118,26.5781092213708
